"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030156999014",105,36,0,1,28,5,70,"03","CAÑAR","AZOGUES","PINDILIG",67,123,34,23,7,3,0,"0301","030156"
"030157001001",206,73,0,6,57,1,137,"03","CAÑAR","AZOGUES","RIVERA",146,207,65,38,42,0,1,"0301","030157"
"030157999001",184,48,0,22,31,1,102,"03","CAÑAR","AZOGUES","RIVERA",92,205,50,31,7,4,0,"0301","030157"
"030157999002",141,33,0,15,14,1,63,"03","CAÑAR","AZOGUES","RIVERA",61,146,31,27,2,1,0,"0301","030157"
"030157999003",59,15,0,13,35,0,63,"03","CAÑAR","AZOGUES","RIVERA",70,108,23,43,3,1,0,"0301","030157"
"030157999004",104,29,0,13,19,0,61,"03","CAÑAR","AZOGUES","RIVERA",61,153,40,14,4,3,0,"0301","030157"
"030157999005",20,9,0,13,23,0,45,"03","CAÑAR","AZOGUES","RIVERA",50,47,18,23,9,0,0,"0301","030157"
"030157999006",78,25,2,15,33,1,76,"03","CAÑAR","AZOGUES","RIVERA",86,97,34,41,9,2,0,"0301","030157"
"030157999007",101,31,1,16,27,0,75,"03","CAÑAR","AZOGUES","RIVERA",81,103,29,50,2,0,0,"0301","030157"
"030157999008",53,20,0,16,21,0,57,"03","CAÑAR","AZOGUES","RIVERA",58,90,30,27,1,0,0,"0301","030157"
"030157999009",100,33,0,19,9,2,63,"03","CAÑAR","AZOGUES","RIVERA",60,129,37,15,6,2,0,"0301","030157"
"030157999010",200,53,0,17,24,9,103,"03","CAÑAR","AZOGUES","RIVERA",98,258,55,32,9,2,0,"0301","030157"
"030157999011",190,46,0,12,18,3,79,"03","CAÑAR","AZOGUES","RIVERA",73,209,47,10,11,5,0,"0301","030157"
"030157999012",39,10,0,19,26,0,55,"03","CAÑAR","AZOGUES","RIVERA",80,73,16,61,3,0,0,"0301","030157"
"030158001001",204,66,0,24,13,2,105,"03","CAÑAR","AZOGUES","SAN MIGUEL",107,190,62,16,23,6,0,"0301","030158"
"030158001002",164,51,1,39,12,3,106,"03","CAÑAR","AZOGUES","SAN MIGUEL",108,177,53,19,35,0,1,"0301","030158"
"030158999001",106,37,0,10,19,3,69,"03","CAÑAR","AZOGUES","SAN MIGUEL",72,140,42,11,13,6,0,"0301","030158"
"030158999002",96,30,1,4,18,3,56,"03","CAÑAR","AZOGUES","SAN MIGUEL",58,105,31,6,14,7,0,"0301","030158"
"030158999003",67,21,0,6,22,2,51,"03","CAÑAR","AZOGUES","SAN MIGUEL",51,73,21,14,12,4,0,"0301","030158"
"030158999004",250,69,0,7,13,2,91,"03","CAÑAR","AZOGUES","SAN MIGUEL",90,254,69,11,7,3,0,"0301","030158"
"030158999005",148,47,0,11,9,4,71,"03","CAÑAR","AZOGUES","SAN MIGUEL",69,160,45,7,14,3,0,"0301","030158"
"030158999006",131,44,0,9,14,1,68,"03","CAÑAR","AZOGUES","SAN MIGUEL",70,134,45,14,8,3,0,"0301","030158"
"030158999007",81,31,0,16,10,2,59,"03","CAÑAR","AZOGUES","SAN MIGUEL",59,87,31,24,3,1,0,"0301","030158"
"030158999008",113,36,0,19,7,1,63,"03","CAÑAR","AZOGUES","SAN MIGUEL",63,117,40,13,9,1,0,"0301","030158"
"030158999009",140,44,0,15,6,4,69,"03","CAÑAR","AZOGUES","SAN MIGUEL",64,144,41,9,8,6,0,"0301","030158"
"030158999010",259,82,0,22,15,1,120,"03","CAÑAR","AZOGUES","SAN MIGUEL",119,277,87,20,11,1,0,"0301","030158"
"030158999011",126,46,0,11,15,6,78,"03","CAÑAR","AZOGUES","SAN MIGUEL",67,141,41,13,10,3,0,"0301","030158"
"030158999012",141,52,0,30,20,7,109,"03","CAÑAR","AZOGUES","SAN MIGUEL",105,166,57,10,27,11,0,"0301","030158"
